trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 1.0}",25,0,-84.42516865133291,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
2,False,"{'a': 0.7, 'e': 0.25}",30,0,-215.40054276908955,"{0: 20, 1: 2, 2: 1, 3: 3, 4: 4}",0
3,False,"{'a': 0.7, 'e': 0.1111111111111111}",20,0,-112.29654847484797,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
4,False,"{'a': 0.7, 'e': 0.0625}",20,0,-14.323391620266051,"{0: 15, 1: 4, 2: 1, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.04}",25,0,-47.92081543963537,"{0: 20, 1: 0, 2: 3, 3: 2, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.027777777777777776}",35,0,-21.82004529887756,"{0: 30, 1: 3, 2: 0, 3: 2, 4: 0}",0
7,False,"{'a': 0.7, 'e': 0.02040816326530612}",25,0,16.74815143024969,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
8,False,"{'a': 0.7, 'e': 0.015625}",25,0,17.73398976898459,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.012345679012345678}",25,0,4.54156526536453,"{0: 23, 1: 0, 2: 1, 3: 1, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.01}",25,0,-19.982404425721132,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.008264462809917356}",20,0,5.463226924265207,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.006944444444444444}",20,0,18.966476533279067,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.005917159763313609}",20,0,-33.16527981956609,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
14,False,"{'a': 0.7, 'e': 0.00510204081632653}",25,1,-7.382769545507002,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
15,False,"{'a': 0.7, 'e': 0.0044444444444444444}",35,6,28.772995670403446,"{0: 28, 1: 0, 2: 1, 3: 0, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.00390625}",30,0,-62.74598867771573,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.7, 'e': 0.0034602076124567475}",25,18,4.051274330400766,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.7, 'e': 0.0030864197530864196}",30,0,31.834754262883745,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 0.002770083102493075}",25,0,17.619000732485922,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
20,False,"{'a': 0.7, 'e': 0.0025}",25,0,31.208855447833987,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",25,8,29.41353731389313,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",20,0,-55.51163405840623,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 2}",0
3,True,"{'a': 0, 'e': 0}",25,0,25.684661441637967,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
4,True,"{'a': 0, 'e': 0}",20,0,10.187027251792339,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,7.098465849891541,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,20.729214222446448,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
7,True,"{'a': 0, 'e': 0}",25,0,32.97281019970173,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
8,True,"{'a': 0, 'e': 0}",25,0,-8.911473117280677,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",20,13,2.9856801310809367,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,0,14.48795671102568,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
