trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.6065306597126334}",25,0,-219.2106569637515,"{0: 12, 1: 3, 2: 6, 3: 0, 4: 4}",0
2,False,"{'a': 0.7, 'e': 0.36787944117144233}",20,0,-90.21902192322302,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.7, 'e': 0.22313016014842982}",25,0,-52.43761095270655,"{0: 20, 1: 1, 2: 1, 3: 3, 4: 0}",0
4,False,"{'a': 0.7, 'e': 0.1353352832366127}",20,0,-121.3587563075145,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
5,False,"{'a': 0.7, 'e': 0.0820849986238988}",25,0,0.5276773856507375,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
6,False,"{'a': 0.7, 'e': 0.049787068367863944}",30,6,-6.692745256639859,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
7,False,"{'a': 0.7, 'e': 0.0301973834223185}",20,0,-57.4929856028903,"{0: 16, 1: 1, 2: 1, 3: 1, 4: 1}",0
8,False,"{'a': 0.7, 'e': 0.01831563888873418}",25,0,5.358201164865162,"{0: 22, 1: 1, 2: 2, 3: 0, 4: 0}",0
9,False,"{'a': 0.7, 'e': 0.011108996538242306}",20,0,30.420244919708864,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
10,False,"{'a': 0.7, 'e': 0.006737946999085467}",25,0,-43.051891935702734,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
11,False,"{'a': 0.7, 'e': 0.004086771438464067}",20,7,-2.1518915847031965,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 0}",1
12,False,"{'a': 0.7, 'e': 0.0024787521766663585}",25,0,20.0446383606119,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
13,False,"{'a': 0.7, 'e': 0.0015034391929775724}",20,10,-68.64437457870756,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 2}",1
14,False,"{'a': 0.7, 'e': 0.0009118819655545162}",20,0,18.31979000142692,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
15,False,"{'a': 0.7, 'e': 0.0005530843701478336}",30,2,-8.776380857289947,"{0: 25, 1: 1, 2: 0, 3: 2, 4: 0}",1
16,False,"{'a': 0.7, 'e': 0.00033546262790251185}",25,0,15.629428448942544,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.7, 'e': 0.00020346836901064417}",20,0,21.536924257016885,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.7, 'e': 0.00012340980408667956}",20,0,15.601974187224759,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
19,False,"{'a': 0.7, 'e': 7.48518298877006e-05}",30,0,32.93992884233698,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",1
20,False,"{'a': 0.7, 'e': 4.5399929762484854e-05}",30,13,5.808366113300491,"{0: 15, 1: 1, 2: 0, 3: 1, 4: 0}",1
21,False,"{'a': 0.7, 'e': 2.7536449349747158e-05}",20,13,-32.05749488636923,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
22,False,"{'a': 0.7, 'e': 1.670170079024566e-05}",20,4,-24.897549443102694,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 1}",1
23,False,"{'a': 0.7, 'e': 1.013009359863071e-05}",20,0,25.646589453509133,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.7, 'e': 6.14421235332821e-06}",20,0,-37.94137715804242,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.7, 'e': 3.726653172078671e-06}",25,0,30.242432043562165,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.7, 'e': 2.2603294069810542e-06}",30,0,35.835728009745026,"{0: 28, 1: 2, 2: 0, 3: 0, 4: 0}",0
27,False,"{'a': 0.7, 'e': 1.3709590863840845e-06}",20,0,18.67869537639396,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
28,False,"{'a': 0.7, 'e': 8.315287191035679e-07}",20,12,15.37193264364611,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.7, 'e': 5.04347662567888e-07}",25,16,8.982249113673687,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
30,False,"{'a': 0.7, 'e': 3.059023205018258e-07}",25,0,37.06761600031683,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.7, 'e': 1.8553913626159784e-07}",20,8,19.174083988805087,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
32,False,"{'a': 0.7, 'e': 1.1253517471925912e-07}",30,0,3.8343555212077964,"{0: 27, 1: 0, 2: 3, 3: 0, 4: 0}",0
33,False,"{'a': 0.7, 'e': 6.82560337633487e-08}",20,4,27.052854292367837,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
34,False,"{'a': 0.7, 'e': 4.139937718785167e-08}",25,10,22.679984316869124,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
35,False,"{'a': 0.7, 'e': 2.510999155743982e-08}",20,0,29.037517450849936,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
36,False,"{'a': 0.7, 'e': 1.522997974471263e-08}",30,16,13.811902200596048,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
37,False,"{'a': 0.7, 'e': 9.237449661970594e-09}",30,20,17.297817717930172,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
38,False,"{'a': 0.7, 'e': 5.602796437537268e-09}",20,0,18.812208621559407,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
39,False,"{'a': 0.7, 'e': 3.398267819495071e-09}",20,9,19.479365357835515,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.7, 'e': 2.061153622438558e-09}",25,16,10.879354755248878,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
