trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.47502081252106}",20,0,-148.49083843368584,"{0: 10, 1: 2, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.8, 'e': 0.45016600268752205}",25,10,-63.58836617968383,"{0: 8, 1: 3, 2: 2, 3: 2, 4: 0}",1
3,False,"{'a': 0.8, 'e': 0.42555748318834097}",25,0,-34.35506892202888,"{0: 21, 1: 1, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.8, 'e': 0.401312339887548}",25,2,-57.42864520838398,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 0}",1
5,False,"{'a': 0.8, 'e': 0.3775406687981454}",25,0,-31.173791141894423,"{0: 20, 1: 2, 2: 2, 3: 1, 4: 0}",0
6,False,"{'a': 0.8, 'e': 0.3543436937742046}",20,0,-36.72806772237949,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.33181222783183384}",20,0,-101.5883711396764,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
8,False,"{'a': 0.8, 'e': 0.3100255188723875}",25,5,-86.17140162294639,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",1
9,False,"{'a': 0.8, 'e': 0.2890504973749961}",20,0,-12.768729926469856,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",1
10,False,"{'a': 0.8, 'e': 0.2689414213699951}",30,15,16.988505256990493,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.8, 'e': 0.2497398944048823}",20,0,1.3118233873892593,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.8, 'e': 0.23147521650098224}",20,0,-7.437258219473221,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
13,False,"{'a': 0.8, 'e': 0.2141650169574414}",20,0,-118.52613084883927,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 3}",0
14,False,"{'a': 0.8, 'e': 0.1978161114414182}",20,5,12.680488703406319,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.8, 'e': 0.18242552380635635}",25,9,-0.9205400372629877,"{0: 14, 1: 1, 2: 0, 3: 1, 4: 0}",1
16,False,"{'a': 0.8, 'e': 0.16798161486607555}",20,0,-29.61695154292046,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
17,False,"{'a': 0.8, 'e': 0.15446526508353475}",25,12,-38.34711875179698,"{0: 10, 1: 2, 2: 0, 3: 0, 4: 1}",1
18,False,"{'a': 0.8, 'e': 0.1418510649004877}",25,11,8.054180917976277,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.8, 'e': 0.13010847436299788}",30,0,7.877014011840437,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
20,False,"{'a': 0.8, 'e': 0.11920292202211769}",20,14,10.63737802045373,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.8, 'e': 0.10909682119561293}",30,15,26.160444304445736,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
22,False,"{'a': 0.8, 'e': 0.0997504891196852}",25,7,-25.188961852586917,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 1}",1
