trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-114.09708058686246,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.25}",20,0,-101.03460417044938,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.1111111111111111}",30,5,-153.2424012524328,"{0: 16, 1: 1, 2: 5, 3: 0, 4: 3}",1
4,False,"{'a': 0.5, 'e': 0.0625}",30,0,-79.60668058088382,"{0: 25, 1: 0, 2: 3, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.04}",20,0,15.055992464104978,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.027777777777777776}",20,0,-2.7445806013260916,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.02040816326530612}",20,0,7.927383612977625,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.015625}",30,0,-57.75929750894563,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.012345679012345678}",25,3,-55.89990055572182,"{0: 17, 1: 0, 2: 4, 3: 0, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.01}",20,0,-2.7770413523555284,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
11,False,"{'a': 0.5, 'e': 0.008264462809917356}",25,13,7.437044440577349,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.006944444444444444}",25,0,-8.708995739098423,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.005917159763313609}",25,0,-99.3563386303451,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 3}",0
14,False,"{'a': 0.5, 'e': 0.00510204081632653}",35,0,25.94585436166679,"{0: 34, 1: 0, 2: 1, 3: 0, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.0044444444444444444}",25,0,27.51479059291529,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.00390625}",25,0,25.117383843541933,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.0034602076124567475}",25,11,18.901478094491758,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.0030864197530864196}",30,13,22.041304670239985,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.002770083102493075}",20,8,18.104108726333315,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.0025}",25,0,25.023316688086297,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
21,False,"{'a': 0.5, 'e': 0.0022675736961451248}",20,0,14.412813827346632,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
22,False,"{'a': 0.5, 'e': 0.002066115702479339}",20,0,23.461424128693313,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
23,False,"{'a': 0.5, 'e': 0.001890359168241966}",20,0,19.839883047441205,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.001736111111111111}",25,0,-8.020862764985548,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
25,False,"{'a': 0.5, 'e': 0.0016}",20,0,22.74047881213011,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.0014792899408284023}",25,15,17.435606531533523,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
27,False,"{'a': 0.5, 'e': 0.0013717421124828531}",20,0,-4.631280154681808,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
28,False,"{'a': 0.5, 'e': 0.0012755102040816326}",30,3,37.96834719506046,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
29,False,"{'a': 0.5, 'e': 0.0011890606420927466}",20,0,25.769798277878284,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
30,False,"{'a': 0.5, 'e': 0.0011111111111111111}",20,0,29.50680249489072,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
31,False,"{'a': 0.5, 'e': 0.001040582726326743}",20,0,22.19419096654341,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
32,False,"{'a': 0.5, 'e': 0.0009765625}",20,0,25.844880181833148,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
33,False,"{'a': 0.5, 'e': 0.0009182736455463728}",25,0,32.16229516129966,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.0008650519031141869}",25,0,22.479239199215655,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.0008163265306122449}",20,0,-17.752379652763516,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.0007716049382716049}",25,0,31.263583091492684,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.0007304601899196494}",30,0,38.21863766434774,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.0006925207756232687}",30,0,48.08533912567043,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
39,False,"{'a': 0.5, 'e': 0.0006574621959237344}",30,0,36.23565314685658,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
40,False,"{'a': 0.5, 'e': 0.000625}",35,0,34.98080654238318,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.000594883997620464}",20,0,-17.353151199140903,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.0005668934240362812}",30,0,10.018606812607244,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
