trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.7, 'e': 0.6065306597126334}",25,7,-84.57231453796737,"{0: 12, 1: 0, 2: 4, 3: 1, 4: 1}",1
2,False,"{'a': 0.7, 'e': 0.36787944117144233}",20,0,-67.88350886494779,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
3,False,"{'a': 0.7, 'e': 0.22313016014842982}",20,6,-81.7950141122371,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 2}",1
4,False,"{'a': 0.7, 'e': 0.1353352832366127}",20,0,-28.228897692050747,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.7, 'e': 0.0820849986238988}",25,13,8.155460516254072,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,False,"{'a': 0.7, 'e': 0.049787068367863944}",25,13,-51.41030745632113,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 1}",1
7,False,"{'a': 0.7, 'e': 0.0301973834223185}",20,5,0.6902824117281448,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.7, 'e': 0.01831563888873418}",20,0,-34.95835417392967,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
9,False,"{'a': 0.7, 'e': 0.011108996538242306}",20,12,13.622968249247823,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,False,"{'a': 0.7, 'e': 0.006737946999085467}",20,0,-7.917744298783741,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
11,False,"{'a': 0.7, 'e': 0.004086771438464067}",30,0,26.223634328689236,"{0: 29, 1: 0, 2: 1, 3: 0, 4: 0}",0
12,False,"{'a': 0.7, 'e': 0.0024787521766663585}",20,0,-57.748114804841734,"{0: 15, 1: 0, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.7, 'e': 0.0015034391929775724}",20,11,19.018711686866258,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.7, 'e': 0.0009118819655545162}",25,1,-11.778569907416257,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
