trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-38.34272986563788,"{0: 14, 1: 3, 2: 2, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-147.12753408884979,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.841622118044185,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-29.625870273965276,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.5, 'e': 1.0}",35,15,-192.53489060401088,"{0: 8, 1: 3, 2: 5, 3: 1, 4: 3}",1
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-123.56382558390804,"{0: 11, 1: 2, 2: 3, 3: 3, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-95.47691747355003,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",30,0,-180.56718604267098,"{0: 15, 1: 5, 2: 7, 3: 1, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",30,0,-191.43221029002657,"{0: 14, 1: 8, 2: 5, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-99.4832699350981,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-132.91701882921143,"{0: 12, 1: 1, 2: 10, 3: 2, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-84.54909952333885,"{0: 11, 1: 4, 2: 4, 3: 0, 4: 1}",0
13,False,"{'a': 0.5, 'e': 1.0}",30,11,-64.10336912361917,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 0}",1
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-197.107150194421,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-153.6668666428853,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-74.46135396322906,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-144.93958674032734,"{0: 13, 1: 6, 2: 3, 3: 1, 4: 2}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.32487363380804,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-153.83694365019437,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
20,False,"{'a': 0.5, 'e': 1.0}",25,0,-105.96334512593727,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
1,True,"{'a': 0.5, 'e': 1.0}",35,0,-214.0065534522651,"{0: 21, 1: 4, 2: 6, 3: 0, 4: 4}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,0,-96.12150523863716,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
3,True,"{'a': 0.5, 'e': 1.0}",30,0,-165.55688351234676,"{0: 12, 1: 6, 2: 11, 3: 0, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-152.88230160522272,"{0: 12, 1: 4, 2: 6, 3: 2, 4: 1}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-101.99389728888781,"{0: 14, 1: 5, 2: 5, 3: 0, 4: 1}",0
6,True,"{'a': 0.5, 'e': 1.0}",25,0,-157.7511451831207,"{0: 19, 1: 0, 2: 2, 3: 0, 4: 4}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-196.66890332479335,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 4}",0
8,True,"{'a': 0.5, 'e': 1.0}",25,0,-198.14348248636588,"{0: 11, 1: 4, 2: 7, 3: 0, 4: 3}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.86531674825511,"{0: 9, 1: 2, 2: 7, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",35,0,-202.43140626973255,"{0: 21, 1: 4, 2: 4, 3: 4, 4: 2}",0
